"File","Type","Missing","ExpectedPath"
"C:\Projects\webact-clean\pages\about-portfolio-aces-driving-school.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-advanced-business-systems.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-aid-the-children.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-air-techs-hvac.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-all-concrete-works-landscaping.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-all-go-transportation.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-all-star-pizza.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-alta-partners.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-american-sewer.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-andree-hudson-art.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-apex-denver-locksmith.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-ariana-waterfall.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-aspire-counseling.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-aspire-hope-for-kids.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-atlee-care.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
"C:\Projects\webact-clean\pages\about-portfolio-axel-medical-transportation.html","href","../industries-nonprofits.html","C:\Projects\webact-clean\industries-nonprofits.html"
